customer_id,recharge_in_first_3_months,recharge_in_recent_month,frequency_trend
CUST00431,7,2,decreasing
CUST00432,1,3,increasing
CUST00433,4,5,increasing
CUST00434,4,2,decreasing
CUST00435,5,5,Stable
CUST00436,12,16,increasing
CUST00437,2,4,increasing
CUST00438,4,3,decreasing
CUST00439,5,3,decreasing
CUST00440,12,5,decreasing
CUST00441,6,2,decreasing
CUST00442,2,1,decreasing
CUST00443,4,5,increasing
CUST00444,3,2,decreasing
CUST00445,1,1,Stable
CUST00446,6,5,decreasing
CUST00447,6,9,increasing
CUST00448,2,1,decreasing
CUST00449,3,4,increasing
CUST00450,2,1,decreasing
CUST00451,20,16,decreasing
CUST00453,2,1,decreasing
CUST00454,16,11,decreasing
CUST00455,1,1,Stable
CUST00456,6,2,decreasing
CUST00457,3,2,decreasing
CUST00458,1,1,Stable
CUST00459,3,3,Stable
CUST00460,5,3,decreasing
CUST00461,1,3,increasing
CUST00462,5,3,decreasing
CUST00463,7,7,Stable
CUST00465,1,4,increasing
CUST00466,1,1,Stable
CUST00467,3,2,decreasing
CUST00469,4,2,decreasing
CUST00470,23,20,decreasing
CUST00472,1,2,increasing
CUST00473,2,1,decreasing
CUST00475,2,2,Stable
CUST00476,1,3,increasing
CUST00477,1,1,Stable
CUST00478,16,17,increasing
CUST00479,3,4,increasing
CUST00480,2,3,increasing
CUST00481,3,1,decreasing
CUST00483,2,1,decreasing
CUST00484,3,1,decreasing
CUST00485,3,9,increasing
CUST00486,2,2,Stable
CUST00487,6,2,decreasing
CUST00488,1,2,increasing
CUST00489,1,1,Stable
CUST00490,1,1,Stable
CUST00491,22,22,Stable
CUST00492,1,1,Stable
CUST00493,1,1,Stable
CUST00494,1,2,increasing
CUST00495,1,1,Stable
CUST00496,2,2,Stable
CUST00497,4,13,increasing
CUST00498,1,2,increasing
CUST00499,4,7,increasing
CUST00500,1,2,increasing
CUST00501,1,1,Stable
CUST00502,1,1,Stable
CUST00503,1,1,Stable
CUST00504,7,5,decreasing
CUST00505,2,2,Stable
CUST00506,3,1,decreasing
CUST00509,2,1,decreasing
CUST00510,13,11,decreasing
CUST00511,4,2,decreasing
CUST00512,2,2,Stable
CUST00513,8,6,decreasing
CUST00514,2,2,Stable
CUST00515,3,4,increasing
CUST00516,1,1,Stable
CUST00517,5,5,Stable
CUST00518,3,1,decreasing
CUST00519,3,3,Stable
CUST00520,2,2,Stable
CUST00521,4,6,increasing
CUST00522,2,2,Stable
CUST00523,3,5,increasing
CUST00524,4,3,decreasing
CUST00525,4,4,Stable
CUST00527,2,4,increasing
CUST00528,4,3,decreasing
CUST00529,1,3,increasing
CUST00530,2,2,Stable
CUST00531,2,1,decreasing
CUST00532,3,3,Stable
CUST00533,4,4,Stable
CUST00534,13,8,decreasing
CUST00535,2,4,increasing
CUST00537,1,1,Stable
CUST00538,5,5,Stable
CUST00539,2,3,increasing
CUST00540,1,1,Stable
CUST00541,1,3,increasing
CUST00542,5,3,decreasing
CUST00544,8,9,increasing
CUST00546,3,4,increasing
CUST00547,5,2,decreasing
CUST00548,6,3,decreasing
CUST00549,3,2,decreasing
CUST00550,1,1,Stable
CUST00551,4,4,Stable
CUST00552,3,2,decreasing
CUST00553,33,33,Stable
CUST00554,2,3,increasing
CUST00555,19,19,Stable
CUST00556,9,10,increasing
CUST00557,2,1,decreasing
CUST00558,1,1,Stable
CUST00559,1,1,Stable
CUST00560,1,1,Stable
CUST00561,2,2,Stable
CUST00562,7,6,decreasing
CUST00563,2,3,increasing
CUST00564,1,1,Stable
CUST00565,1,1,Stable
CUST00566,3,2,decreasing
CUST00567,2,2,Stable
CUST00568,1,1,Stable
CUST00569,22,22,Stable
CUST00571,2,2,Stable
CUST00572,3,2,decreasing
CUST00573,3,2,decreasing
CUST00574,1,1,Stable
CUST00575,2,2,Stable
CUST00576,1,2,increasing
CUST00578,3,1,decreasing
CUST00579,6,7,increasing
CUST00580,40,40,Stable
CUST00581,3,4,increasing
CUST00583,1,1,Stable
CUST00585,4,7,increasing
CUST00586,5,6,increasing
CUST00587,7,7,Stable
CUST00589,6,2,decreasing
CUST00592,33,33,Stable
CUST00593,2,2,Stable
CUST00594,2,3,increasing
CUST00595,12,9,decreasing
CUST00596,2,2,Stable
CUST00597,5,7,increasing
CUST00598,3,3,Stable
CUST00599,3,2,decreasing
CUST00600,6,9,increasing
CUST00601,1,1,Stable
CUST00602,3,2,decreasing
CUST00603,1,1,Stable
CUST00604,6,6,Stable
CUST00605,12,13,increasing
CUST00606,4,2,decreasing
CUST00607,9,6,decreasing
CUST00608,4,2,decreasing
CUST00610,35,35,Stable
CUST00611,3,6,increasing
CUST00612,23,23,Stable
CUST00613,1,1,Stable
CUST00614,4,6,increasing
CUST00616,5,7,increasing
CUST00617,13,6,decreasing
CUST00618,2,2,Stable
CUST00619,3,2,decreasing
CUST00620,1,1,Stable
CUST00621,1,1,Stable
CUST00622,1,1,Stable
CUST00623,2,1,decreasing
CUST00624,5,3,decreasing
CUST00625,4,4,Stable
CUST00626,1,3,increasing
CUST00627,2,2,Stable
CUST00628,2,2,Stable
CUST00629,16,15,decreasing
CUST00630,2,3,increasing
CUST00631,1,1,Stable
CUST00632,5,3,decreasing
CUST00633,3,7,increasing
CUST00634,3,2,decreasing
CUST00635,1,1,Stable
CUST00636,2,3,increasing
CUST00637,5,3,decreasing
CUST00638,5,7,increasing
CUST00639,1,1,Stable
CUST00641,2,2,Stable
CUST00642,3,2,decreasing
CUST00643,3,3,Stable
CUST00644,2,2,Stable
CUST00645,3,1,decreasing
CUST00646,18,11,decreasing
CUST00647,2,2,Stable
CUST00648,7,7,Stable
CUST00649,2,1,decreasing
CUST00650,2,1,decreasing
CUST00652,1,1,Stable
CUST00654,1,3,increasing
CUST00655,1,4,increasing
CUST00656,17,16,decreasing
CUST00657,2,1,decreasing
CUST00658,1,1,Stable
CUST00659,1,9,increasing
CUST00660,1,2,increasing
CUST00661,2,2,Stable
CUST00663,2,1,decreasing
CUST00664,4,1,decreasing
CUST00665,5,5,Stable
CUST00667,1,1,Stable
CUST00668,3,3,Stable
CUST00669,1,1,Stable
CUST00670,4,7,increasing
CUST00671,1,1,Stable
CUST00672,1,2,increasing
CUST00673,2,2,Stable
CUST00674,4,1,decreasing
CUST00675,7,6,decreasing
CUST00676,1,1,Stable
CUST00677,2,1,decreasing
CUST00678,1,3,increasing
CUST00679,2,1,decreasing
CUST00680,8,11,increasing
CUST00681,2,1,decreasing
CUST00682,1,5,increasing
CUST00683,9,4,decreasing
CUST00684,2,1,decreasing
CUST00685,2,2,Stable
CUST00686,14,9,decreasing
CUST00687,2,4,increasing
CUST00688,1,2,increasing
CUST00689,1,1,Stable
CUST00690,2,6,increasing
CUST00691,3,3,Stable
CUST00692,3,4,increasing
CUST00693,8,4,decreasing
CUST00694,6,3,decreasing
CUST00695,4,4,Stable
CUST00696,1,1,Stable
CUST00698,2,2,Stable
CUST00699,1,1,Stable
CUST00700,1,2,increasing
CUST00701,3,2,decreasing
CUST00703,3,4,increasing
CUST00706,1,1,Stable
CUST00707,3,3,Stable
CUST00708,2,4,increasing
CUST00709,1,1,Stable
CUST00710,2,2,Stable
CUST00711,6,2,decreasing
CUST00712,5,4,decreasing
CUST00713,4,2,decreasing
CUST00714,1,2,increasing
CUST00717,4,6,increasing
CUST00718,2,3,increasing
CUST00719,1,3,increasing
CUST00720,8,2,decreasing
CUST00722,5,5,Stable
CUST00723,3,4,increasing
CUST00724,3,2,decreasing
CUST00725,3,6,increasing
CUST00726,2,2,Stable
CUST00727,5,1,decreasing
CUST00728,1,3,increasing
CUST00729,1,2,increasing
CUST00730,2,1,decreasing
CUST00731,9,10,increasing
CUST00732,5,7,increasing
CUST00733,31,31,Stable
CUST00735,1,2,increasing
CUST00736,2,3,increasing
CUST00737,4,1,decreasing
CUST00738,1,2,increasing
CUST00739,10,8,decreasing
CUST00740,22,22,Stable
CUST00742,1,3,increasing
CUST00743,5,3,decreasing
CUST00744,9,9,Stable
CUST00746,4,1,decreasing
CUST00747,1,1,Stable
CUST00748,13,14,increasing
CUST00749,12,9,decreasing
CUST00750,3,1,decreasing
CUST00753,2,1,decreasing
CUST00754,4,2,decreasing
CUST00755,4,1,decreasing
CUST00756,4,2,decreasing
CUST00757,3,3,Stable
CUST00759,1,1,Stable
CUST00760,2,1,decreasing
CUST00762,1,1,Stable
CUST00763,3,3,Stable
CUST00764,3,1,decreasing
CUST00765,2,1,decreasing
CUST00766,14,15,increasing
CUST00767,2,2,Stable
CUST00768,2,1,decreasing
CUST00769,4,2,decreasing
CUST00772,6,4,decreasing
CUST00773,12,19,increasing
CUST00774,6,5,decreasing
CUST00775,2,1,decreasing
CUST00776,4,6,increasing
CUST00778,6,9,increasing
CUST00779,2,2,Stable
CUST00780,4,6,increasing
CUST00781,1,1,Stable
CUST00782,3,6,increasing
CUST00783,3,4,increasing
CUST00784,2,5,increasing
CUST00785,6,10,increasing
CUST00786,3,2,decreasing
CUST00787,2,2,Stable
CUST00789,1,1,Stable
CUST00790,1,4,increasing
CUST00791,2,4,increasing
CUST00792,3,2,decreasing
CUST00793,4,7,increasing
CUST00794,4,3,decreasing
CUST00795,2,2,Stable
CUST00796,4,4,Stable
CUST00797,2,3,increasing
CUST00798,8,6,decreasing
CUST00799,6,7,increasing
CUST00801,6,1,decreasing
CUST00802,11,5,decreasing
CUST00803,2,1,decreasing
CUST00804,1,1,Stable
CUST00805,1,2,increasing
CUST00806,4,4,Stable
CUST00807,29,29,Stable
CUST00808,1,1,Stable
CUST00809,11,11,Stable
CUST00810,1,1,Stable
CUST00811,34,34,Stable
CUST00812,5,3,decreasing
CUST00813,3,1,decreasing
CUST00814,6,9,increasing
CUST00815,2,2,Stable
CUST00816,2,2,Stable
CUST00818,5,2,decreasing
CUST00819,2,2,Stable
CUST00821,1,4,increasing
CUST00822,2,6,increasing
CUST00824,1,1,Stable
CUST00825,3,5,increasing
CUST00826,1,1,Stable
CUST00827,4,7,increasing
CUST00828,1,2,increasing
CUST00830,5,3,decreasing
CUST00831,5,6,increasing
CUST00832,3,4,increasing
CUST00835,2,7,increasing
CUST00836,4,1,decreasing
CUST00837,14,14,Stable
CUST00838,1,1,Stable
CUST00839,2,2,Stable
CUST00840,1,1,Stable
CUST00841,3,5,increasing
CUST00842,9,9,Stable
CUST00843,8,16,increasing
CUST00844,12,11,decreasing
CUST00845,1,3,increasing
CUST00848,6,6,Stable
CUST00850,3,1,decreasing
CUST00853,1,1,Stable
CUST00854,1,4,increasing
CUST00855,21,15,decreasing
CUST00856,1,1,Stable
CUST00857,3,3,Stable
CUST00858,2,2,Stable
CUST00859,6,9,increasing
CUST00860,1,3,increasing
CUST00861,2,5,increasing
CUST00862,1,1,Stable
CUST00864,1,1,Stable
CUST00865,1,1,Stable
CUST00866,1,1,Stable
CUST00867,1,1,Stable
CUST00868,4,2,decreasing
CUST00869,1,3,increasing
CUST00870,4,6,increasing
CUST00871,2,2,Stable
CUST00874,4,1,decreasing
CUST00875,1,1,Stable
CUST00876,1,1,Stable
CUST00877,3,2,decreasing
CUST00878,1,3,increasing
CUST00879,3,2,decreasing
CUST00880,5,3,decreasing
CUST00881,3,1,decreasing
CUST00883,1,3,increasing
CUST00885,5,3,decreasing
CUST00887,3,1,decreasing
CUST00888,1,1,Stable
CUST00889,1,1,Stable
CUST00890,5,3,decreasing
CUST00892,11,10,decreasing
CUST00893,5,7,increasing
CUST00894,3,1,decreasing
CUST00895,4,3,decreasing
CUST00896,1,2,increasing
CUST00897,2,4,increasing
CUST00899,2,1,decreasing
CUST00900,3,2,decreasing
CUST00901,1,4,increasing
CUST00902,5,11,increasing
CUST00903,1,2,increasing
CUST00904,2,2,Stable
CUST00905,1,2,increasing
CUST00906,1,2,increasing
CUST00908,3,3,Stable
CUST00909,2,5,increasing
CUST00910,3,3,Stable
CUST00912,2,1,decreasing
CUST00913,7,3,decreasing
CUST00914,3,3,Stable
CUST00915,1,3,increasing
CUST00917,4,5,increasing
CUST00918,1,3,increasing
CUST00920,3,1,decreasing
CUST00921,1,2,increasing
CUST00923,3,3,Stable
CUST00924,34,34,Stable
CUST00925,1,2,increasing
CUST00926,11,11,Stable
CUST00927,4,4,Stable
CUST00928,6,6,Stable
CUST00929,8,6,decreasing
CUST00930,3,1,decreasing
CUST00931,3,3,Stable
CUST00932,7,7,Stable
CUST00933,4,1,decreasing
CUST00934,1,2,increasing
CUST00935,4,4,Stable
CUST00936,39,39,Stable
CUST00939,4,1,decreasing
CUST00940,3,1,decreasing
CUST00941,9,7,decreasing
CUST00942,1,2,increasing
CUST00943,6,4,decreasing
CUST00944,6,6,Stable
CUST00945,5,3,decreasing
CUST00946,1,1,Stable
CUST00947,5,4,decreasing
CUST00948,2,1,decreasing
CUST00949,1,1,Stable
CUST00950,3,1,decreasing
CUST00951,12,12,Stable
CUST00952,1,1,Stable
CUST00954,1,2,increasing
CUST00955,10,8,decreasing
CUST00956,2,3,increasing
CUST00957,2,2,Stable
CUST00958,4,2,decreasing
CUST00960,2,3,increasing
CUST00961,1,2,increasing
CUST00962,1,2,increasing
CUST00963,1,1,Stable
CUST00964,1,1,Stable
CUST00965,3,5,increasing
CUST00966,3,2,decreasing
CUST00968,3,1,decreasing
CUST00969,1,1,Stable
CUST00971,6,7,increasing
CUST00972,8,6,decreasing
CUST00973,10,9,decreasing
CUST00974,5,1,decreasing
CUST00975,4,3,decreasing
CUST00976,5,4,decreasing
CUST00978,4,4,Stable
CUST00980,2,1,decreasing
CUST00981,2,1,decreasing
CUST00982,3,3,Stable
CUST00983,2,2,Stable
CUST00984,2,5,increasing
CUST00985,2,2,Stable
CUST00986,3,1,decreasing
CUST00987,5,3,decreasing
CUST00989,2,3,increasing
CUST00990,2,3,increasing
CUST00991,1,3,increasing
CUST00993,1,7,increasing
CUST00994,2,1,decreasing
CUST00995,5,6,increasing
CUST00996,1,3,increasing
CUST00997,1,1,Stable
CUST00998,1,2,increasing
CUST00999,2,3,increasing
CUST01000,4,4,Stable
CUST01001,6,5,decreasing
CUST01002,3,4,increasing
CUST01003,2,2,Stable
CUST01005,1,4,increasing
CUST01006,6,8,increasing
CUST01007,3,1,decreasing
CUST01008,6,2,decreasing
CUST01009,1,5,increasing
CUST01010,3,2,decreasing
CUST01011,1,1,Stable
CUST01012,1,1,Stable
CUST01013,1,1,Stable
CUST01014,1,1,Stable
CUST01015,2,1,decreasing
CUST01018,1,1,Stable
CUST01019,4,3,decreasing
CUST01020,5,3,decreasing
CUST01022,3,1,decreasing
CUST01023,4,4,Stable
CUST01024,9,15,increasing
CUST01025,2,5,increasing
CUST01026,2,1,decreasing
CUST01027,1,3,increasing
CUST01028,1,3,increasing
CUST01029,4,4,Stable
CUST01030,3,3,Stable
CUST01031,3,3,Stable
CUST01032,4,4,Stable
CUST01033,1,2,increasing
CUST01034,3,2,decreasing
CUST01035,2,1,decreasing
CUST01036,5,5,Stable
CUST01037,1,2,increasing
CUST01038,5,11,increasing
CUST01039,2,2,Stable
CUST01040,3,4,increasing
CUST01041,3,4,increasing
CUST01042,2,5,increasing
CUST01043,2,2,Stable
CUST01044,16,22,increasing
CUST01045,2,1,decreasing
CUST01046,8,1,decreasing
CUST01047,1,1,Stable
CUST01048,3,4,increasing
CUST01049,2,6,increasing
CUST01051,2,1,decreasing
CUST01052,5,4,decreasing
CUST01053,8,9,increasing
CUST01055,2,1,decreasing
CUST01056,3,1,decreasing
CUST01057,1,1,Stable
CUST01059,2,2,Stable
CUST01060,2,5,increasing
CUST01061,1,2,increasing
CUST01062,1,1,Stable
CUST01064,1,2,increasing
CUST01065,8,8,Stable
CUST01066,2,3,increasing
CUST01067,3,2,decreasing
CUST01068,6,2,decreasing
CUST01070,2,2,Stable
CUST01071,1,1,Stable
CUST01072,1,1,Stable
CUST01074,5,13,increasing
CUST01075,2,1,decreasing
CUST01076,2,4,increasing
CUST01077,3,2,decreasing
CUST01078,2,1,decreasing
CUST01079,6,12,increasing
CUST01080,4,6,increasing
CUST01081,1,1,Stable
CUST01082,4,2,decreasing
CUST01083,1,1,Stable
CUST01084,2,4,increasing
CUST01087,1,3,increasing
CUST01088,2,2,Stable
CUST01089,2,3,increasing
CUST01091,1,1,Stable
CUST01092,1,2,increasing
CUST01094,8,9,increasing
CUST01095,26,26,Stable
CUST01096,3,1,decreasing
CUST01097,1,2,increasing
CUST01098,2,1,decreasing
CUST01100,9,5,decreasing
CUST01101,1,1,Stable
CUST01102,3,2,decreasing
CUST01103,3,4,increasing
CUST01104,4,4,Stable
CUST01105,3,5,increasing
CUST01106,1,3,increasing
CUST01108,3,4,increasing
CUST01109,4,4,Stable
CUST01110,4,5,increasing
CUST01111,4,2,decreasing
CUST01112,1,1,Stable
CUST01113,8,9,increasing
CUST01114,3,9,increasing
CUST01115,6,5,decreasing
CUST01116,1,1,Stable
CUST01117,1,1,Stable
CUST01118,2,2,Stable
CUST01119,1,1,Stable
CUST01120,1,2,increasing
CUST01121,1,1,Stable
CUST01123,3,5,increasing
CUST01124,1,2,increasing
CUST01125,4,8,increasing
CUST01126,2,6,increasing
CUST01127,5,5,Stable
CUST01128,4,4,Stable
CUST01129,6,10,increasing
CUST01130,3,3,Stable
CUST01131,1,2,increasing
CUST01132,3,4,increasing
CUST01134,5,3,decreasing
CUST01135,1,2,increasing
CUST01137,2,2,Stable
CUST01138,2,2,Stable
CUST01139,2,1,decreasing
