operator,total_revenue,month,pre_revenue,growth_rate
Ufone,2295056.03,2022-07,2007918.35,14.3
Ufone,2293557.42,2022-08,2295056.03,-0.07
Ufone,2434422.93,2022-09,2293557.42,6.14
Ufone,2585594.12,2022-10,2434422.93,6.21
Ufone,2718522.99,2022-11,2585594.12,5.14
Ufone,2741002.02,2022-12,2718522.99,0.83
Ufone,2877580.94,2023-01,2741002.02,4.98
Ufone,2726477.58,2023-02,2877580.94,-5.25
Ufone,3318914.36,2023-03,2726477.58,21.73
Ufone,3117335.36,2023-04,3318914.36,-6.07
Ufone,3381539.04,2023-05,3117335.36,8.48
Ufone,3339521.14,2023-06,3381539.04,-1.24
Ufone,3684029.0,2023-07,3339521.14,10.32
Ufone,3744161.89,2023-08,3684029.0,1.63
Ufone,3684465.21,2023-09,3744161.89,-1.59
Ufone,4022803.73,2023-10,3684465.21,9.18
Ufone,3898348.13,2023-11,4022803.73,-3.09
Ufone,4339056.29,2023-12,3898348.13,11.3
Ufone,4143282.52,2024-01,4339056.29,-4.51
Ufone,4028473.19,2024-02,4143282.52,-2.77
Ufone,4474879.83,2024-03,4028473.19,11.08
Ufone,4288111.03,2024-04,4474879.83,-4.17
Ufone,4528224.83,2024-05,4288111.03,5.6
Ufone,4326878.64,2024-06,4528224.83,-4.45
Ufone,4676898.37,2024-07,4326878.64,8.09
Ufone,4552690.38,2024-08,4676898.37,-2.66
Ufone,4559297.77,2024-09,4552690.38,0.15
Ufone,4723534.86,2024-10,4559297.77,3.6
Ufone,4571697.37,2024-11,4723534.86,-3.21
Ufone,4859711.24,2024-12,4571697.37,6.3
Ufone,4930102.79,2025-01,4859711.24,1.45
Ufone,4425210.85,2025-02,4930102.79,-10.24
Ufone,5253473.78,2025-03,4425210.85,18.72
Ufone,4976954.33,2025-04,5253473.78,-5.26
Ufone,5212039.34,2025-05,4976954.33,4.72
Ufone,5114925.74,2025-06,5212039.34,-1.86
Ufone,5402185.97,2025-07,5114925.74,5.62
Ufone,5518109.3,2025-08,5402185.97,2.15
Ufone,5384771.5,2025-09,5518109.3,-2.42
Ufone,5786633.71,2025-10,5384771.5,7.46
Ufone,5677306.32,2025-11,5786633.71,-1.89
Ufone,6153314.14,2025-12,5677306.32,8.38
Ufone,6369765.39,2026-01,6153314.14,3.52
Ufone,5983911.33,2026-02,6369765.39,-6.06
Ufone,7172112.09,2026-03,5983911.33,19.86
Ufone,7193587.46,2026-04,7172112.09,0.3
Ufone,8152879.73,2026-05,7193587.46,13.34
Ufone,8823097.02,2026-06,8152879.73,8.22
Ufone,3975668.55,2026-07,8823097.02,-54.94
Zong,135097.05,2021-01,,
Zong,267705.21,2021-02,135097.05,98.16
Zong,545815.06,2021-03,267705.21,103.89
Zong,737348.68,2021-04,545815.06,35.09
Zong,1040638.04,2021-05,737348.68,41.13
Zong,1185130.58,2021-06,1040638.04,13.88
Zong,1484023.19,2021-07,1185130.58,25.22
Zong,1698018.87,2021-08,1484023.19,14.42
Zong,1811786.33,2021-09,1698018.87,6.7
Zong,2147826.47,2021-10,1811786.33,18.55
Zong,2322242.29,2021-11,2147826.47,8.12
Zong,2668383.6,2021-12,2322242.29,14.91
Zong,2874641.23,2022-01,2668383.6,7.73
Zong,2788179.68,2022-02,2874641.23,-3.01
Zong,3495819.13,2022-03,2788179.68,25.38
Zong,3372107.98,2022-04,3495819.13,-3.54
Zong,3796951.1,2022-05,3372107.98,12.6
Zong,3760640.93,2022-06,3796951.1,-0.96
Zong,4169492.7,2022-07,3760640.93,10.87
Zong,4407020.21,2022-08,4169492.7,5.7
Zong,4414209.75,2022-09,4407020.21,0.16
Zong,4900580.93,2022-10,4414209.75,11.02
Zong,4930220.64,2022-11,4900580.93,0.6
Zong,5392001.46,2022-12,4930220.64,9.37
Zong,5660393.12,2023-01,5392001.46,4.98
Zong,5222942.61,2023-02,5660393.12,-7.73
Zong,6436637.55,2023-03,5222942.61,23.24
Zong,6050476.44,2023-04,6436637.55,-6.0
Zong,6668828.93,2023-05,6050476.44,10.22
Zong,6417461.49,2023-06,6668828.93,-3.77
Zong,7171591.66,2023-07,6417461.49,11.75
Zong,7121700.37,2023-08,7171591.66,-0.7
Zong,7035719.06,2023-09,7121700.37,-1.21
Zong,7775342.2,2023-10,7035719.06,10.51
Zong,7434146.53,2023-11,7775342.2,-4.39
Zong,8139321.45,2023-12,7434146.53,9.49
Zong,8094130.87,2024-01,8139321.45,-0.56
Zong,7658892.25,2024-02,8094130.87,-5.38
Zong,8652778.0,2024-03,7658892.25,12.98
Zong,8130689.67,2024-04,8652778.0,-6.03
Zong,8567590.95,2024-05,8130689.67,5.37
Zong,8337163.61,2024-06,8567590.95,-2.69
Zong,8729256.04,2024-07,8337163.61,4.7
Zong,8654344.37,2024-08,8729256.04,-0.86
Zong,8534921.61,2024-09,8654344.37,-1.38
Zong,9056999.11,2024-10,8534921.61,6.12
Zong,8624168.27,2024-11,9056999.11,-4.78
Zong,9063582.89,2024-12,8624168.27,5.1
Zong,9165210.84,2025-01,9063582.89,1.12
Zong,8388502.56,2025-02,9165210.84,-8.47
Zong,9744819.68,2025-03,8388502.56,16.17
Zong,9213792.61,2025-04,9744819.68,-5.45
Zong,9808243.18,2025-05,9213792.61,6.45
Zong,9562624.28,2025-06,9808243.18,-2.5
Zong,10369163.81,2025-07,9562624.28,8.43
Zong,10147700.42,2025-08,10369163.81,-2.14
Zong,10311180.46,2025-09,10147700.42,1.61
Zong,10784698.38,2025-10,10311180.46,4.59
Zong,10786674.86,2025-11,10784698.38,0.02
Zong,11570259.38,2025-12,10786674.86,7.26
Zong,11645225.88,2026-01,11570259.38,0.65
Zong,10984918.13,2026-02,11645225.88,-5.67
Zong,13208848.61,2026-03,10984918.13,20.25
Zong,12921143.9,2026-04,13208848.61,-2.18
Zong,14655312.1,2026-05,12921143.9,13.42
Zong,15458299.25,2026-06,14655312.1,5.48
Zong,6566176.05,2026-07,15458299.25,-57.52
