tower_id,total_calls,drop_rate_percentage,tower_rank
TWR0122,7257,8.1,59
TWR0453,7392,8.1,59
TWR0365,7276,8.1,59
TWR0045,7320,8.09,60
TWR0194,7247,8.09,60
TWR0463,7426,8.09,60
TWR0219,7320,8.09,60
TWR0272,7357,8.09,60
TWR0491,7425,8.09,60
TWR0024,7380,8.08,61
TWR0177,7244,8.08,61
TWR0137,7289,8.08,61
TWR0087,7294,8.08,61
TWR0052,7367,8.08,61
TWR0355,7336,8.08,61
TWR0088,7416,8.08,61
TWR0132,7223,8.07,62
TWR0352,7238,8.07,62
TWR0013,7241,8.07,62
TWR0072,7486,8.07,62
TWR0102,7286,8.07,62
TWR0192,7420,8.07,62
TWR0446,7434,8.06,63
TWR0303,7466,8.06,63
TWR0353,7187,8.06,63
TWR0046,7297,8.06,63
TWR0334,7337,8.06,63
TWR0337,7167,8.05,64
TWR0127,7172,8.05,64
TWR0054,7453,8.05,64
TWR0414,7417,8.05,64
TWR0058,7325,8.05,64
TWR0185,7296,8.05,64
TWR0030,7322,8.04,65
TWR0139,7241,8.04,65
TWR0074,7265,8.04,65
TWR0184,7255,8.04,65
TWR0009,7474,8.04,65
TWR0499,7293,8.04,65
TWR0066,7349,8.04,65
TWR0384,7273,8.04,65
TWR0005,7311,8.03,66
TWR0167,7410,8.03,66
TWR0059,7263,8.03,66
TWR0374,7349,8.03,66
TWR0281,7322,8.03,66
TWR0033,7271,8.03,66
TWR0338,7319,8.03,66
TWR0393,7362,8.03,66
TWR0145,7324,8.03,66
TWR0489,7297,8.03,66
TWR0459,7272,8.03,66
TWR0089,7366,8.02,67
TWR0106,7540,8.02,67
TWR0347,7405,8.02,67
TWR0143,7219,8.01,68
TWR0141,7344,8.01,68
TWR0180,7443,8.01,68
TWR0188,7275,8.01,68
TWR0464,7257,8.01,68
TWR0092,7325,8.01,68
TWR0433,7427,8.01,68
TWR0176,7391,8.0,69
TWR0479,7141,8.0,69
TWR0197,7272,8.0,69
TWR0448,7340,8.0,69
TWR0091,7248,8.0,69
TWR0456,7349,8.0,69
TWR0330,7302,8.0,69
TWR0198,7332,7.99,70
TWR0472,7372,7.99,70
TWR0238,7460,7.99,70
TWR0117,7433,7.99,70
TWR0113,7306,7.99,70
TWR0040,7371,7.99,70
TWR0070,7306,7.99,70
TWR0390,7510,7.99,70
TWR0148,7473,7.98,71
TWR0493,7330,7.98,71
TWR0345,7392,7.98,71
TWR0278,7480,7.98,71
TWR0419,7316,7.98,71
TWR0031,7507,7.98,71
TWR0357,7280,7.97,72
TWR0465,7314,7.97,72
TWR0253,7279,7.97,72
TWR0343,7451,7.97,72
TWR0325,7231,7.97,72
TWR0274,7332,7.97,72
TWR0241,7257,7.96,73
TWR0371,7370,7.96,73
TWR0477,7274,7.96,73
TWR0217,7208,7.96,73
TWR0400,7309,7.96,73
TWR0322,7363,7.95,74
TWR0019,7321,7.95,74
TWR0437,7348,7.95,74
TWR0199,7296,7.95,74
TWR0476,7181,7.95,74
TWR0370,7498,7.95,74
TWR0327,7279,7.95,74
TWR0421,7289,7.94,75
TWR0483,7315,7.94,75
TWR0294,7381,7.94,75
TWR0003,7225,7.94,75
TWR0280,7351,7.94,75
TWR0152,7407,7.94,75
TWR0471,7261,7.93,76
TWR0243,7378,7.93,76
TWR0287,7439,7.93,76
TWR0218,7259,7.93,76
TWR0361,7236,7.93,76
TWR0487,7340,7.93,76
TWR0273,7380,7.93,76
TWR0297,7195,7.92,77
TWR0154,7383,7.92,77
TWR0032,7326,7.92,77
TWR0386,7170,7.92,77
TWR0392,7413,7.92,77
TWR0348,7269,7.92,77
TWR0020,7221,7.92,77
TWR0441,7395,7.91,78
TWR0269,7343,7.91,78
TWR0385,7305,7.91,78
TWR0056,7346,7.91,78
TWR0473,7422,7.91,78
TWR0025,7258,7.91,78
TWR0335,7384,7.91,78
TWR0120,7403,7.9,79
TWR0413,7219,7.9,79
TWR0264,7273,7.89,80
TWR0301,7233,7.89,80
TWR0076,7474,7.89,80
TWR0309,7330,7.89,80
TWR0071,7289,7.89,80
TWR0133,7303,7.89,80
TWR0213,7326,7.89,80
TWR0011,7351,7.89,80
TWR0395,7359,7.88,81
TWR0397,7345,7.88,81
TWR0342,7350,7.88,81
TWR0249,7309,7.87,82
TWR0100,7408,7.87,82
TWR0105,7373,7.87,82
TWR0156,7268,7.87,82
TWR0175,7285,7.87,82
TWR0500,7231,7.87,82
TWR0467,7423,7.87,82
TWR0469,7192,7.87,82
TWR0458,7445,7.86,83
TWR0068,7479,7.86,83
TWR0255,7279,7.86,83
TWR0060,7391,7.86,83
TWR0312,7350,7.86,83
TWR0415,7226,7.85,84
TWR0084,7282,7.85,84
TWR0002,7401,7.85,84
TWR0420,7454,7.85,84
TWR0424,7333,7.85,84
TWR0235,7354,7.85,84
TWR0452,7303,7.85,84
TWR0318,7373,7.85,84
TWR0101,7306,7.84,85
TWR0190,7334,7.84,85
TWR0490,7153,7.84,85
TWR0271,7357,7.83,86
TWR0286,7410,7.83,86
TWR0028,7399,7.83,86
TWR0080,7330,7.83,86
TWR0195,7392,7.83,86
TWR0075,7293,7.82,87
TWR0407,7267,7.82,87
TWR0445,7484,7.82,87
TWR0010,7437,7.81,88
TWR0134,7274,7.81,88
TWR0207,7234,7.8,89
TWR0237,7384,7.8,89
TWR0399,7375,7.8,89
TWR0160,7437,7.8,89
TWR0425,7258,7.8,89
TWR0021,7253,7.8,89
TWR0214,7294,7.8,89
TWR0209,7243,7.79,90
TWR0128,7339,7.79,90
TWR0245,7173,7.79,90
TWR0221,7269,7.79,90
TWR0131,7428,7.79,90
TWR0408,7225,7.79,90
TWR0369,7353,7.79,90
TWR0039,7436,7.79,90
TWR0341,7274,7.79,90
TWR0057,7430,7.78,91
TWR0292,7382,7.78,91
TWR0484,7467,7.78,91
TWR0147,7403,7.78,91
TWR0042,7311,7.77,92
TWR0295,7363,7.77,92
TWR0112,7258,7.77,92
TWR0062,7305,7.76,93
TWR0367,7258,7.76,93
TWR0380,7341,7.76,93
TWR0261,7246,7.76,93
TWR0242,7436,7.76,93
TWR0396,7385,7.76,93
TWR0427,7333,7.76,93
TWR0443,7369,7.76,93
TWR0078,7398,7.76,93
TWR0166,7382,7.76,93
TWR0149,7449,7.76,93
TWR0267,7369,7.75,94
TWR0069,7294,7.75,94
TWR0488,7295,7.75,94
TWR0364,7292,7.75,94
TWR0451,7224,7.75,94
TWR0461,7369,7.75,94
TWR0173,7271,7.74,95
TWR0158,7477,7.74,95
TWR0406,7336,7.73,96
TWR0321,7389,7.73,96
TWR0254,7305,7.73,96
TWR0126,7134,7.72,97
TWR0022,7416,7.71,98
TWR0434,7464,7.7,99
TWR0179,7274,7.7,99
TWR0340,7365,7.7,99
TWR0496,7311,7.7,99
TWR0103,7345,7.69,100
TWR0130,7240,7.69,100
TWR0029,7213,7.68,101
TWR0162,7384,7.68,101
TWR0119,7442,7.67,102
TWR0116,7265,7.67,102
TWR0436,7397,7.67,102
TWR0306,7460,7.67,102
TWR0405,7324,7.67,102
TWR0140,7410,7.67,102
TWR0231,7374,7.66,103
TWR0288,7153,7.66,103
TWR0480,7326,7.66,103
TWR0023,7308,7.65,104
TWR0457,7259,7.65,104
TWR0275,7275,7.64,105
TWR0210,7294,7.64,105
TWR0394,7313,7.64,105
TWR0263,7441,7.63,106
TWR0034,7375,7.63,106
TWR0362,7519,7.63,106
TWR0211,7217,7.62,107
TWR0151,7391,7.62,107
TWR0283,7424,7.62,107
TWR0363,7411,7.61,108
TWR0454,7407,7.6,109
TWR0227,7299,7.6,109
TWR0308,7369,7.59,110
TWR0017,7560,7.59,110
TWR0171,7340,7.59,110
TWR0250,7196,7.59,110
TWR0474,7259,7.58,111
TWR0447,7348,7.58,111
TWR0466,7115,7.56,112
TWR0097,7262,7.55,113
TWR0146,7381,7.55,113
TWR0324,7308,7.54,114
TWR0111,7305,7.54,114
TWR0252,7495,7.53,115
TWR0165,7175,7.53,115
TWR0311,7394,7.52,116
TWR0290,7217,7.52,116
TWR0470,7382,7.52,116
TWR0065,7417,7.52,116
TWR0410,7373,7.51,117
TWR0044,7374,7.51,117
TWR0050,7364,7.5,118
TWR0110,7233,7.49,119
TWR0187,7333,7.47,120
TWR0375,7323,7.46,121
TWR0135,7416,7.46,121
TWR0475,7330,7.42,122
TWR0358,7295,7.42,122
TWR0426,7349,7.42,122
TWR0268,7389,7.42,122
TWR0193,7224,7.41,123
TWR0006,7234,7.41,123
TWR0201,7242,7.4,124
TWR0124,7279,7.4,124
TWR0224,7393,7.39,125
TWR0402,7229,7.39,125
TWR0014,7262,7.38,126
TWR0260,7230,7.37,127
TWR0285,7323,7.37,127
TWR0299,7313,7.36,128
TWR0225,7336,7.36,128
TWR0212,7293,7.35,129
TWR0435,7363,7.33,130
TWR0462,7250,7.32,131
TWR0366,7151,7.31,132
TWR0159,7449,7.3,133
TWR0150,7292,7.3,133
TWR0282,7368,7.29,134
TWR0200,7442,7.28,135
TWR0236,7295,7.25,136
TWR0298,7395,7.18,137
TWR0320,7311,7.15,138
TWR0429,7301,7.15,138
TWR0226,7360,7.02,139
